"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_injury_q1","pct_injury_q2","pct_injury_q3","pct_injury_q4","pct_injury_q5","pct_injury_q6","pct_injury_q7","pct_injury_q8","pct_injury_q9","pct_injury_q10","pct_injury_q11","INT","distance","weights","subclass"
"35",360050033002,0,0,431,1446,7.60719225449516,15.9751037344398,22.1991701244813,7.46887966804979,3.38865836791148,31.1894882434302,58.3679114799447,11.8257261410788,60.8848315,11.0955056,5.4775281,58.9327146171694,41.0672853828306,21.8097447795824,6.26450116009281,30.6264501160093,41.2993039443155,27.190332326284,27.190332326284,86.1027190332326,151.057401812689,135.95166163142,163.141993957704,105.740181268882,181.268882175227,217.522658610272,151.057401812689,265.861027190332,0,0.153060817613507,0.504237288135593,"74"
"36",360050033003,0,0,616,1685,6.05341246290801,4.33234421364985,19.4658753709199,18.160237388724,10.2077151335312,31.0385756676558,67.5370919881306,0,69.851632,3.9169139,4.3916914,51.2987012987013,48.7012987012987,21.5909090909091,13.961038961039,18.0194805194805,46.4285714285714,23.8568588469185,111.332007952286,89.4632206759443,111.332007952286,139.165009940358,202.783300198807,278.330019880716,143.141153081511,250.497017892644,278.330019880716,612.326043737575,0,0.46570600035059,2.01694915254237,"85"
"37",360050035001,0,0,279,763,14.6788990825688,1.96592398427261,24.3774574049803,15.7273918741809,4.19397116644823,27.916120576671,72.083879423329,0,41.8086501,9.4364351,1.1795544,81.0035842293907,18.9964157706093,12.9032258064516,9.31899641577061,40.1433691756272,37.6344086021505,31.9488817891374,25.5591054313099,153.354632587859,76.6773162939297,127.79552715655,230.031948881789,357.827476038339,204.472843450479,316.29392971246,287.539936102236,210.862619808307,0,0.0414568055894997,0.504237288135593,"100"
"46",360050042002,1,840,963,3202,6.96439725171768,3.46658338538414,12.5858838226109,13.054341036852,8.21361648969394,48.7820112429731,45.8775765146783,0,66.5521549,4.7470331,10.587133,0,100,4.46521287642783,8.09968847352025,20.7684319833853,66.6666666666667,52.9172320217096,84.1248303934871,130.257801899593,162.822252374491,176.390773405699,105.834464043419,294.436906377205,282.225237449118,293.080054274084,271.370420624152,492.537313432836,1,0.948492063467339,1,"101"
"48",360050042004,0,0,400,1043,6.51965484180249,2.20517737296261,23.3940556088207,21.5723873441994,11.888782358581,67.6893576222435,32.3106423777565,0,20.9971237,0,0,3.75,96.25,3.75,6.5,0,89.75,11.9402985074627,59.7014925373134,98.5074626865672,119.402985074627,119.402985074627,179.10447761194,125.373134328358,71.6417910447761,402.985074626866,59.7014925373134,262.686567164179,0,0.274879187075257,1.00847457627119,"10"
"49",360050042005,0,0,230,545,3.11926605504587,0,0,44.5871559633028,32.4770642201835,36.8807339449541,20.9174311926606,21.2844036697248,53.2110092,0,3.1192661,11.7391304347826,88.2608695652174,56.5217391304348,7.39130434782609,0,36.0869565217391,647.058823529412,588.235294117647,1411.76470588235,2352.94117647059,2352.94117647059,3882.35294117647,1647.05882352941,1882.35294117647,5294.11764705882,1764.70588235294,5176.47058823529,0,0.121127390363844,0.504237288135593,"60"
"50",360050043001,0,0,633,1775,10.8732394366197,8.95774647887324,7.71830985915493,21.2394366197183,2.47887323943662,26.9859154929577,72.6760563380282,0.676056338028169,52.5070423,17.4647887,8.8450704,49.6050552922591,50.3949447077409,25.1184834123223,15.1658767772512,25.2764612954186,34.4391785150079,28.6298568507157,40.8997955010225,110.429447852761,73.6196319018405,153.374233128834,147.239263803681,157.464212678937,49.079754601227,220.858895705521,122.699386503067,247.443762781186,0,0.21213965967404,0.672316384180791,"99"
"51",360050044001,1,530,452,1120,5.17857142857143,4.73214285714286,10.4464285714286,16.4285714285714,14.5535714285714,30.1785714285714,69.8214285714286,0,35.8490566,18.5983827,17.6100629,21.0176991150442,78.9823008849557,4.42477876106195,1.54867256637168,17.2566371681416,76.7699115044248,87.719298245614,201.754385964912,223.684210526316,228.070175438596,394.736842105263,394.736842105263,429.824561403509,631.578947368421,434.210526315789,614.035087719298,578.947368421053,1,0.792539808257794,1,"102"
"53",360050048001,0,0,698,1940,12.7319587628866,5,11.1855670103093,14.2268041237113,4.43298969072165,26.1340206185567,73.0927835051546,1.03092783505155,34.4845361,3.2474227,12.2164948,48.8538681948424,51.1461318051576,2.00573065902579,0.429799426934097,29.9426934097421,67.621776504298,42.7807486631016,71.301247771836,144.385026737968,163.992869875223,222.816399286988,235.294117647059,162.210338680927,256.68449197861,336.898395721925,338.680926916221,333.333333333333,0,0.13117435506353,0.504237288135593,"59"
"61",360050051001,0,0,220,473,9.72515856236786,1.90274841437632,12.6849894291755,6.13107822410148,18.1818181818182,33.8266384778013,66.1733615221987,0,19.2389006,0,45.8773784,75.9090909090909,24.0909090909091,0,0,77.2727272727273,22.7272727272727,43.4782608695652,86.9565217391304,52.1739130434783,69.5652173913043,173.913043478261,313.04347826087,304.347826086957,278.260869565217,313.04347826087,260.869565217391,286.95652173913,0,0.126456779226292,0.504237288135593,"90"
