"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_injury_q1","pct_injury_q2","pct_injury_q3","pct_injury_q4","pct_injury_q5","pct_injury_q6","pct_injury_q7","pct_injury_q8","pct_injury_q9","pct_injury_q10","pct_injury_q11","INT","distance","weights","subclass"
"203",360050133001,1,799,618,1746,6.98739977090493,2.52004581901489,9.22107674684994,20.504009163803,16.6666666666667,17.5830469644903,77.205040091638,0,42.8405122,22.8754366,8.0908033,43.2038834951456,56.7961165048544,0,7.60517799352751,11.4886731391586,74.2718446601942,88.6850152905199,134.556574923547,192.660550458716,391.437308868502,519.877675840979,550.45871559633,599.388379204893,856.269113149847,798.165137614679,825.688073394495,571.865443425076,1,0.608798065161138,1,"28"
"205",360050133003,1,372,487,1360,3.08823529411765,3.82352941176471,11.0294117647059,17.5735294117647,7.27941176470588,12.9411764705882,87.0588235294118,0,24.4852941,8.4558824,4.7794118,45.5852156057495,54.4147843942505,4.72279260780287,8.62422997946612,2.6694045174538,83.9835728952772,40.983606557377,90.1639344262295,196.72131147541,229.508196721311,163.934426229508,295.081967213115,401.639344262295,524.590163934426,442.622950819672,614.754098360656,721.311475409836,1,0.0467978804413133,1,"29"
"207",360050135002,1,549,564,1598,6.13266583229036,10.450563204005,14.8310387984981,14.1426783479349,15.5193992490613,21.4017521902378,76.5957446808511,1.12640801001252,54.4654088,7.672956,5.7861635,40.9574468085106,59.0425531914894,8.51063829787234,2.12765957446809,15.7801418439716,73.5815602836879,33.8645418326693,67.7290836653386,101.593625498008,191.235059760956,219.123505976096,239.043824701195,334.661354581673,414.342629482072,394.422310756972,298.804780876494,503.98406374502,1,0.430226566717574,1,"31"
"212",360050143001,0,0,483,1085,7.09677419354839,9.12442396313364,9.95391705069124,22.4884792626728,8.11059907834101,49.9539170506912,38.0645161290323,7.83410138248848,42.2284644,12.1722846,17.1348315,40.7867494824017,59.2132505175983,19.4616977225673,3.31262939958592,23.3954451345756,53.8302277432712,49.2957746478873,161.971830985915,285.211267605634,394.366197183099,528.169014084507,274.647887323944,764.084507042253,676.056338028169,792.253521126761,1161.97183098592,1161.97183098592,0,0.186125907355681,0.504237288135593,"21"
"214",360050144002,1,368,350,964,11.0995850622407,3.7344398340249,19.8132780082988,16.1825726141079,6.53526970954357,30.7053941908714,65.2489626556017,1.2448132780083,59.0248963,0,15.560166,26.2857142857143,73.7142857142857,19.7142857142857,0,67.1428571428571,13.1428571428571,47.9041916167665,101.796407185629,107.784431137725,131.736526946108,89.8203592814371,125.748502994012,272.455089820359,263.473053892216,350.299401197605,59.8802395209581,263.473053892216,1,0.388255851347319,1,"34"
"215",360050144005,1,418,435,1266,13.7440758293839,13.6650868878357,10.9794628751975,12.5592417061611,11.7693522906793,20.0631911532385,58.3728278041074,10.9004739336493,42.9699842,7.2669826,7.9778831,24.5977011494253,75.4022988505747,45.2873563218391,0.689655172413793,47.5862068965517,6.4367816091954,41.1522633744856,65.843621399177,55.5555555555556,205.761316872428,236.625514403292,209.876543209877,345.679012345679,312.757201646091,314.814814814815,349.794238683128,362.139917695473,1,0.00383822969697231,1,"35"
"218",360050145002,1,606,731,2173,6.39668660837552,13.6677404509894,17.0271514035895,15.8306488725265,4.92406810860561,24.2982052462034,75.7017947537966,0,52.2319374,13.5757018,10.3083295,28.5909712722298,71.4090287277702,0,0,13.6798905608755,86.3201094391245,18.6104218362283,44.6650124069479,70.7196029776675,94.2928039702233,155.086848635236,148.883374689826,208.436724565757,406.947890818859,223.325062034739,297.766749379653,354.838709677419,1,0.841892943390407,1,"37"
"222",360050147021,1,354,328,776,7.34536082474227,1.80412371134021,8.76288659793814,22.8092783505155,17.5257731958763,37.8865979381443,58.5051546391753,4.63917525773196,38.9175258,13.0154639,5.1546392,64.9390243902439,35.0609756097561,0,5.18292682926829,2.74390243902439,92.0731707317073,71.9424460431655,143.884892086331,215.827338129496,374.10071942446,287.769784172662,431.654676258993,453.237410071942,805.755395683453,776.978417266187,935.251798561151,712.230215827338,1,0.252291497816971,1,"38"
"223",360050147022,1,448,453,1342,10.2086438152012,7.60059612518629,7.15350223546945,14.4560357675112,7.60059612518629,29.8807749627422,70.1192250372578,0,40.1639344,3.2786885,9.9850969,29.5805739514349,70.4194260485651,1.98675496688742,1.76600441501104,24.2825607064018,71.9646799116998,65.6716417910448,119.402985074627,170.149253731343,322.388059701493,313.432835820896,232.835820895522,459.701492537313,692.537313432836,402.985074626866,507.462686567164,820.89552238806,1,0.345350697046537,1,"39"
"224",360050147024,1,240,194,807,3.46964064436183,8.17843866171004,6.44361833952912,11.8959107806691,4.21313506815366,20.3221809169765,71.003717472119,0,57.8686493,0,8.5501859,30.9278350515464,69.0721649484536,14.4329896907216,4.12371134020619,13.9175257731959,67.5257731958763,82.1917808219178,205.479452054795,349.315068493151,410.958904109589,684.931506849315,904.109589041096,1486.30136986301,712.328767123288,1109.58904109589,821.917808219178,1657.53424657534,1,0.157636507514207,1,"40"
"235",360050155001,0,0,725,1979,8.33754421424962,7.98383021728146,14.8054573016675,14.6033350176857,8.94391106619505,21.1723092470945,76.9075290550783,1.51591712986357,48.408287,7.4279939,10.3587671,61.1034482758621,38.8965517241379,2.89655172413793,2.75862068965517,44.8275862068966,49.5172413793103,21.1038961038961,64.9350649350649,136.363636363636,123.376623376623,170.454545454545,165.584415584416,272.727272727273,311.688311688312,365.25974025974,211.038961038961,303.571428571429,0,0.260343537538221,2.01694915254237,"47"
"236",360050155002,0,0,401,987,8.51063829787234,5.16717325227964,8.20668693009119,10.5369807497467,25.9371833839919,11.3475177304965,86.1195542046606,2.53292806484296,55.6935818,1.0351967,12.7329193,56.857855361596,43.142144638404,22.6932668329177,9.47630922693267,42.643391521197,25.1870324189526,69.4444444444444,120.37037037037,166.666666666667,314.814814814815,416.666666666667,277.777777777778,259.259259259259,481.481481481481,416.666666666667,648.148148148148,509.259259259259,0,0.0858615046219589,0.504237288135593,"33"
"240",360050159001,0,0,553,1293,3.01624129930394,3.09358081979892,10.5955143078113,12.6063418406806,13.6117556071152,5.95514307811292,92.9621036349575,0.541376643464811,47.4339036,7.8538103,12.5194401,29.4755877034358,70.5244122965642,11.0307414104882,7.95660036166365,38.5171790235081,42.49547920434,55.5555555555556,138.888888888889,222.222222222222,185.185185185185,370.37037037037,416.666666666667,486.111111111111,555.555555555556,708.333333333333,648.148148148148,967.592592592593,0,0.318531525383941,1.00847457627119,"11"
"241",360050159002,0,0,148,307,0,10.4234527687296,8.14332247557003,14.3322475570033,23.1270358306189,6.84039087947883,86.6449511400651,4.88599348534202,63.1921824,13.3550489,3.257329,16.2162162162162,83.7837837837838,13.5135135135135,0,37.1621621621622,49.3243243243243,140.350877192982,140.350877192982,263.157894736842,421.052631578947,350.877192982456,105.263157894737,491.228070175439,842.105263157895,947.368421052632,1228.0701754386,2894.73684210526,0,0.79098296283647,2.01694915254237,"81"
"247",360050161002,0,0,582,1425,11.859649122807,3.2280701754386,9.6140350877193,20.140350877193,10.7368421052632,40.7017543859649,58.6666666666667,0.631578947368421,51.0877193,0,1.4736842,35.3951890034364,64.6048109965636,0,3.60824742268041,39.5189003436426,56.872852233677,19.8863636363636,56.8181818181818,102.272727272727,125,142.045454545455,238.636363636364,238.636363636364,340.909090909091,588.068181818182,340.909090909091,250,0,0.32847413216244,2.01694915254237,"52"
"255",360050167002,0,0,710,2175,11.6781609195402,11.9080459770115,20.0459770114943,9.97701149425287,0.781609195402299,37.8850574712644,59.4022988505747,2.11494252873563,56.6046733,3.5288507,4.72103,33.3802816901408,66.6197183098592,15.0704225352113,5.35211267605634,25.3521126760563,54.2253521126761,28.4510010537408,33.7197049525817,97.9978925184405,139.093782929399,168.598524762908,164.383561643836,287.671232876712,252.897787144362,256.059009483667,179.13593256059,370.916754478398,0,0.295631030977595,1.00847457627119,"97"
"258",360050173003,0,0,485,1121,7.13648528099911,2.94380017841213,12.5780553077609,23.1043710972346,3.92506690454951,26.6726137377342,69.4915254237288,3.38983050847458,33.4535618,30.207394,12.9846709,88.4536082474227,11.5463917525773,2.47422680412371,7.21649484536082,83.9175257731959,6.39175257731959,39.3700787401575,70.8661417322835,200.787401574803,236.220472440945,177.165354330709,330.708661417323,523.622047244094,692.913385826772,531.496062992126,708.661417322835,649.606299212598,0,0.20732235227458,0.504237288135593,"42"
"264",360050177024,0,0,557,1536,7.35677083333333,4.55729166666667,15.2994791666667,19.4661458333333,13.0859375,22.265625,73.7630208333333,4.16666666666667,51.6927083,15.0390625,5.3385417,58.3482944344704,41.6517055655296,4.48833034111311,6.10412926391382,74.326750448833,15.08078994614,26.3157894736842,105.263157894737,93.3014354066986,124.401913875598,131.578947368421,186.602870813397,184.210526315789,325.358851674641,322.966507177034,167.464114832536,526.315789473684,0,0.499501954342393,2.01694915254237,"41"
"266",360050179012,0,0,165,353,9.34844192634561,12.1813031161473,9.91501416430595,26.628895184136,14.7308781869688,40.2266288951841,50.7082152974504,0,26.6288952,11.0481586,23.796034,47.8787878787879,52.1212121212121,2.42424242424242,6.66666666666667,36.3636363636364,54.5454545454545,54.0540540540541,18.018018018018,108.108108108108,144.144144144144,315.315315315315,270.27027027027,441.441441441441,0,810.810810810811,360.36036036036,693.693693693694,0,0.34917679140389,1.00847457627119,"4"
"267",360050179013,0,0,639,1795,5.12534818941504,2.84122562674095,15.1532033426184,13.8718662952646,6.07242339832869,19.2200557103064,67.4651810584958,12.3676880222841,48.8022284,12.2005571,10.3064067,78.8732394366197,21.1267605633803,3.44287949921753,0,44.7574334898279,51.7996870109546,24.0963855421687,110.843373493976,115.66265060241,134.939759036145,204.819277108434,303.614457831325,236.144578313253,269.879518072289,390.361445783133,409.638554216867,556.626506024096,0,0.154726496220279,0.504237288135593,"53"
"268",360050179021,0,0,613,2036,8.49705304518664,10.7072691552063,9.82318271119843,17.4852652259332,6.13948919449902,68.2220039292731,31.188605108055,0.982318271119843,58.1041257,2.3575639,5.697446,57.5856443719413,42.4143556280587,13.3768352365416,4.07830342577488,33.278955954323,49.2659053833605,37.2250423011844,67.6818950930626,86.2944162436548,155.668358714044,135.363790186125,223.350253807107,213.197969543147,243.654822335025,228.426395939086,253.807106598985,595.600676818951,0,0.316425389206642,1.00847457627119,"61"
"272",360050181012,0,0,213,562,4.09252669039146,1.60142348754448,12.6334519572954,8.18505338078292,11.2099644128114,39.5017793594306,60.4982206405694,0,45.1086957,8.3333333,4.8913043,75.5868544600939,24.4131455399061,13.6150234741784,5.16431924882629,62.9107981220657,18.3098591549296,48.5436893203883,97.0873786407767,174.757281553398,271.844660194175,291.26213592233,524.271844660194,339.805825242718,621.359223300971,961.165048543689,679.611650485437,213.592233009709,0,0.0210004709020108,0.504237288135593,"106"
"289",360050185002,0,0,414,1153,14.7441457068517,3.38248048568951,17.692974848222,20.6418039895924,8.23937554206418,40.4163052905464,57.8490893321769,3.46921075455334,60.7979185,0,3.3824805,52.4154589371981,47.5845410628019,10.3864734299517,14.975845410628,39.8550724637681,34.7826086956522,21.7917675544794,62.953995157385,87.1670702179177,116.222760290557,193.704600484262,188.861985472155,186.440677966102,232.445520581114,217.917675544794,314.769975786925,292.978208232446,0,0.443853374010576,2.01694915254237,"43"
"290",360050185003,0,0,697,2147,9.26874708896134,6.4275733581742,10.2002794597112,26.6884024219842,8.61667442943642,57.7084303679553,37.6339077782953,5.68234746157429,51.3589503,10.5904405,4.4048735,66.4275466284075,33.5724533715925,11.7647058823529,22.5251076040172,29.4117647058824,36.2984218077475,57.5539568345324,97.1223021582734,145.68345323741,215.827338129496,296.762589928058,237.410071942446,402.877697841727,460.431654676259,663.669064748201,359.712230215827,593.525179856115,0,0.359041515577372,1.00847457627119,"4"
"294",360050189002,0,0,827,2320,8.79310344827586,9.61206896551724,16.6379310344828,15.5172413793103,6.93965517241379,25.1724137931034,68.0603448275862,0,40.7758621,4.0086207,12.2413793,66.6263603385731,33.3736396614268,9.31076178960097,7.61789600967352,23.7001209189843,59.3712212817412,20.910209102091,54.1205412054121,92.2509225092251,118.081180811808,141.451414514145,118.081180811808,232.472324723247,295.20295202952,365.313653136531,196.80196801968,284.132841328413,0,0.0737348326616063,0.504237288135593,"68"
"296",360050189004,0,0,660,1431,0.628930817610063,14.5352900069881,18.1691125087352,13.696715583508,13.4171907756813,22.5017470300489,76.1705101327743,0,58.5604472,2.3060797,11.8798043,55.6060606060606,44.3939393939394,13.1818181818182,5.60606060606061,33.1818181818182,48.030303030303,27.2536687631027,54.5073375262054,56.6037735849057,117.400419287212,199.16142557652,238.993710691824,337.526205450734,251.572327044025,320.754716981132,272.536687631027,415.094339622642,0,0.318303205661505,1.00847457627119,"79"
"297",360050193002,1,584,277,806,12.6550868486352,4.96277915632754,11.7866004962779,18.1141439205955,3.72208436724566,66.1290322580645,33.8709677419355,0,37.0967742,6.9478908,6.6997519,43.6823104693141,56.3176895306859,12.6353790613718,5.41516245487365,10.8303249097473,71.1191335740072,75.9493670886076,160.337552742616,303.79746835443,405.063291139241,189.873417721519,354.430379746835,531.645569620253,506.329113924051,1063.29113924051,379.746835443038,1113.92405063291,1,0.120218066137724,1,"60"
"301",360050195003,0,0,830,2358,6.31891433418151,8.52417302798982,16.5818490245971,14.334181509754,6.95504664970314,34.4359626802375,64.0373197625106,3.05343511450382,46.0559796,9.8812553,0.7633588,62.4096385542169,37.5903614457831,4.21686746987952,0,53.9759036144578,41.8072289156627,16.1943319838057,37.7867746288799,93.1174089068826,80.9716599190283,114.709851551957,210.526315789474,160.59379217274,205.128205128205,182.186234817814,175.438596491228,222.672064777328,0,0.165049025744691,0.504237288135593,"32"
"304",360050197002,0,0,613,1636,0.550122249388753,11.919315403423,12.7750611246944,19.3765281173594,12.2860635696822,25.2444987775061,66.5036674816626,8.2518337408313,57.0293399,3.6674817,6.5403423,54.1598694942904,45.8401305057096,4.73083197389886,1.95758564437194,43.3931484502447,49.9184339314845,29.0556900726392,58.1113801452785,87.1670702179177,145.278450363196,193.704600484262,217.917675544794,322.033898305085,387.409200968523,326.876513317191,338.983050847458,213.075060532688,0,0.313203107180682,1.00847457627119,"112"
"306",360050197004,0,0,301,718,5.57103064066852,7.38161559888579,20.7520891364903,10.0278551532033,6.96378830083566,28.133704735376,63.9275766016713,7.93871866295265,28.1831187,7.1530758,0,61.1295681063123,38.8704318936877,0,4.98338870431894,56.1461794019934,38.8704318936877,37.1900826446281,41.3223140495868,74.3801652892562,115.702479338843,103.305785123967,198.347107438017,173.553719008264,264.462809917355,185.95041322314,371.900826446281,409.090909090909,0,0.0414364547934623,0.504237288135593,"100"
"309",360050199002,0,0,534,1404,2.27920227920228,7.54985754985755,12.8917378917379,20.6552706552707,5.1994301994302,24.2165242165242,71.2962962962963,0,55.3418803,3.2051282,0,67.4157303370787,32.5842696629214,9.55056179775281,0,48.12734082397,42.3220973782771,75.2351097178683,112.852664576803,150.470219435737,175.548589341693,329.153605015674,263.322884012539,329.153605015674,752.351097178683,366.771159874608,219.435736677116,517.241379310345,0,0.155453914248609,0.504237288135593,"40"
"323",360050205011,0,0,415,968,6.92148760330579,2.58264462809917,11.7768595041322,26.8595041322314,8.88429752066116,22.6239669421488,76.1363636363636,0,19.3181818,9.607438,17.768595,33.9759036144578,66.0240963855422,0,5.54216867469879,35.9036144578313,58.5542168674699,38.8349514563107,77.6699029126214,203.883495145631,252.427184466019,242.718446601942,291.26213592233,339.805825242718,349.514563106796,524.271844660194,145.631067961165,1014.56310679612,0,0.348056055961481,1.00847457627119,"108"
"324",360050205013,0,0,713,1776,7.65765765765766,14.6959459459459,8.38963963963964,14.0765765765766,7.31981981981982,30.8558558558559,68.3558558558559,0.675675675675676,48.7612613,6.7004505,3.5472973,28.8920056100982,71.1079943899018,5.61009817671809,0,10.0981767180926,84.2917251051893,27.4725274725275,95.2380952380952,181.318681318681,161.172161172161,155.677655677656,164.835164835165,269.230769230769,249.084249084249,395.604395604396,293.040293040293,402.930402930403,0,0.293161259847219,1.00847457627119,"16"
"329",360050209001,0,0,314,607,17.6276771004942,4.2833607907743,8.89621087314662,18.2866556836903,5.7660626029654,35.7495881383855,63.0971993410214,1.15321252059308,53.5420099,1.9769357,0,37.8980891719745,62.1019108280255,0,0,57.6433121019108,42.3566878980892,42.7807486631016,139.03743315508,176.470588235294,385.026737967914,213.903743315508,160.427807486631,374.331550802139,342.245989304813,433.155080213904,427.807486631016,941.176470588235,0,0.40486894903994,2.01694915254237,"3"
"330",360050209002,0,0,259,579,7.426597582038,4.14507772020725,9.84455958549223,23.8341968911917,12.0898100172712,49.2227979274611,45.9412780656304,3.45423143350604,35.5785838,17.6165803,0,53.6679536679537,46.3320463320463,0,0,50.5791505791506,49.4208494208494,72.5806451612903,193.548387096774,266.129032258065,483.870967741935,322.58064516129,338.709677419355,846.774193548387,645.161290322581,798.387096774194,806.451612903226,1508.06451612903,0,0.291340406088905,1.00847457627119,"118"
"333",360050210011,0,0,555,1121,10.1694915254237,8.29616413916146,6.15521855486173,37.4665477252453,5.26315789473684,59.2328278322926,40.6779661016949,0,46.4763604,0,5.2631579,63.0630630630631,36.9369369369369,10.0900900900901,0,32.6126126126126,57.2972972972973,18.1159420289855,57.9710144927536,86.9565217391304,188.405797101449,199.275362318841,86.9565217391304,177.536231884058,260.869565217391,195.652173913043,144.927536231884,318.840579710145,0,0.203278030600969,0.504237288135593,"96"
"339",360050210021,0,0,371,786,9.54198473282443,0,4.19847328244275,31.9338422391858,9.66921119592875,51.1450381679389,18.3206106870229,36.3867684478371,18.5750636,5.5979644,7.6335878,83.0188679245283,16.9811320754717,0,0,38.0053908355795,61.9946091644205,194.444444444444,277.777777777778,444.444444444444,777.777777777778,601.851851851852,500,1296.2962962963,1481.48148148148,1000,1111.11111111111,1018.51851851852,0,0.0109879511024533,0.504237288135593,"94"
"344",360050210027,0,0,784,1505,1.2624584717608,1.59468438538206,8.17275747508306,13.2890365448505,22.4584717607973,51.4950166112957,28.3056478405316,20.1328903654485,8.9036545,0,7.3754153,82.9081632653061,17.0918367346939,2.29591836734694,6.12244897959184,34.6938775510204,56.8877551020408,48.1927710843374,72.289156626506,126.506024096386,96.3855421686747,180.722891566265,289.156626506024,379.518072289157,722.89156626506,54.2168674698795,180.722891566265,662.650602409639,0,0.00378274653075504,0.504237288135593,"35"
"348",360050211003,0,0,459,1056,9.09090909090909,9.09090909090909,11.5530303030303,16.0984848484848,11.5530303030303,31.5340909090909,67.0454545454545,0.568181818181818,52.1865889,7.0942663,1.8464529,44.4444444444444,55.5555555555556,17.4291938997821,3.92156862745098,29.8474945533769,48.80174291939,50.9554140127389,57.3248407643312,114.649681528662,254.777070063694,222.929936305732,248.407643312102,289.808917197452,458.59872611465,659.235668789809,191.082802547771,385.350318471338,0,0.119250350535496,0.504237288135593,"60"
"357",360050213021,0,0,688,2115,14.7044917257683,6.14657210401891,5.91016548463357,16.6903073286052,8.4160756501182,42.789598108747,54.51536643026,2.69503546099291,43.0732861,2.0803783,5.3427896,28.4883720930233,71.5116279069768,11.9186046511628,0,11.6279069767442,76.453488372093,49.469964664311,60.0706713780919,180.212014134276,219.081272084806,212.014134275618,296.819787985866,259.717314487633,268.551236749117,461.13074204947,441.696113074205,583.038869257951,0,0.126395271289443,0.504237288135593,"104"
"358",360050213022,0,0,433,1020,8.52941176470588,2.35294117647059,3.43137254901961,21.078431372549,13.7254901960784,42.843137254902,55.9803921568627,1.17647058823529,30.1960784,0,25.7843137,20.0923787528868,79.9076212471132,22.4018475750577,4.15704387990762,22.1709006928406,51.270207852194,41.0958904109589,109.58904109589,164.383561643836,273.972602739726,479.452054794521,123.287671232877,479.452054794521,219.178082191781,61.6438356164384,410.958904109589,602.739726027397,0,0.158546069024005,0.504237288135593,"53"
"359",360050213023,0,0,158,657,2.43531202435312,10.0456621004566,27.3972602739726,12.6331811263318,2.58751902587519,31.8112633181126,67.427701674277,0,43.2267884,28.1582953,2.891933,44.9367088607595,55.0632911392405,0,0,67.0886075949367,32.9113924050633,34.3511450381679,45.8015267175573,91.6030534351145,152.671755725191,95.4198473282443,45.8015267175573,106.870229007634,274.809160305344,206.106870229008,381.679389312977,545.801526717557,0,0.774811181509943,2.01694915254237,"102"
"360",360050213024,0,0,793,2359,12.6748622297584,7.79991521831284,21.2378126324714,10.0890207715134,3.47604917337855,54.0059347181009,43.4506146672319,0,23.8236541,11.6150911,12.208563,29.5081967213115,70.4918032786885,0,0,25.2206809583859,74.7793190416141,14.2276422764228,24.390243902439,36.5853658536585,77.2357723577236,106.707317073171,121.951219512195,113.821138211382,121.951219512195,182.926829268293,101.626016260163,201.219512195122,0,0.339288983761143,1.00847457627119,"89"
"364",360050215021,0,0,522,1255,5.57768924302789,12.191235059761,7.25099601593625,18.7250996015936,7.80876494023904,16.4143426294821,81.7529880478088,0,42.5514403,15.9670782,2.6337449,44.8275862068966,55.1724137931034,6.32183908045977,4.21455938697318,59.1954022988506,30.2681992337165,15.9235668789809,38.2165605095541,105.095541401274,216.56050955414,270.700636942675,152.866242038217,401.273885350318,356.687898089172,257.96178343949,318.471337579618,525.477707006369,0,0.206618165615847,0.672316384180791,"99"
"365",360050215022,0,0,572,1752,7.47716894977169,9.18949771689498,5.36529680365297,17.9223744292237,16.4383561643836,26.1986301369863,72.5456621004566,1.25570776255708,37.2146119,8.7328767,5.1940639,65.3846153846154,34.6153846153846,7.69230769230769,1.57342657342657,51.7482517482517,38.986013986014,41.4507772020725,88.0829015544041,132.124352331606,113.989637305699,168.39378238342,77.720207253886,308.290155440414,207.253886010363,326.424870466321,310.880829015544,313.471502590674,0,0.0461395843463795,0.504237288135593,"29"
"366",360050215023,0,0,392,964,7.36514522821577,16.9087136929461,11.9294605809129,21.2655601659751,1.45228215767635,32.9875518672199,64.4190871369295,2.28215767634855,48.9626556,5.7053942,11.0995851,58.6734693877551,41.3265306122449,8.92857142857143,14.5408163265306,62.7551020408163,13.7755102040816,34.3839541547278,63.0372492836676,163.323782234957,240.687679083095,128.939828080229,309.45558739255,320.916905444126,320.916905444126,489.971346704871,372.492836676218,441.260744985673,0,0.202163467110375,0.504237288135593,"12"
"368",360050215025,0,0,393,1689,7.16400236826525,8.94020130254589,17.4067495559503,16.0449970396684,4.67732386027235,19.8934280639432,78.744819419775,1.30254588513914,49.0699166,21.8088518,2.7581783,66.6666666666667,33.3333333333333,8.9058524173028,12.4681933842239,65.3944020356234,13.2315521628499,30.0353356890459,63.6042402826855,132.508833922261,148.409893992933,61.8374558303887,116.60777385159,296.819787985866,310.95406360424,254.416961130742,159.010600706714,272.08480565371,0,0.277657628863351,1.00847457627119,"97"
"369",360050216011,0,0,681,1761,11.8114707552527,3.18001135718342,10.5621805792164,11.8114707552527,9.99432140829074,29.6990346394094,63.5434412265758,0,54.5712663,7.0982396,8.9721749,53.7444933920705,46.2555066079295,14.3906020558003,22.7606461086637,28.4875183553598,34.3612334801762,35.5555555555556,57.7777777777778,126.666666666667,115.555555555556,188.888888888889,106.666666666667,295.555555555556,231.111111111111,260,266.666666666667,415.555555555556,0,0.222505910500161,0.672316384180791,"87"
"371",360050216013,0,0,253,666,4.35435435435435,5.55555555555556,10.8108108108108,12.4624624624625,10.2102102102102,14.8648648648649,55.2552552552552,3.003003003003,51.2012012,8.7087087,12.7627628,39.9209486166008,60.0790513833992,4.74308300395257,0,33.9920948616601,61.2648221343874,7.2463768115942,72.463768115942,108.695652173913,231.884057971014,181.159420289855,130.434782608696,304.347826086957,347.826086956522,521.739130434783,0,318.840579710145,0,0.175570203627619,0.504237288135593,"26"
"380",360050217003,0,0,356,968,6.81818181818182,6.50826446280992,2.37603305785124,24.3801652892562,7.85123966942149,55.0619834710744,42.3553719008264,0.723140495867769,45.9601259,22.6652676,0.7345226,76.9662921348315,23.0337078651685,1.96629213483146,0,46.0674157303371,51.9662921348315,65.7894736842105,157.894736842105,335.526315789474,131.578947368421,263.157894736842,315.789473684211,460.526315789474,578.947368421053,473.684210526316,592.105263157895,1085.52631578947,0,0.371869115789398,2.01694915254237,"34"
"382",360050218001,0,0,448,1486,13.0551816958277,8.47913862718708,9.62314939434724,9.35397039030956,6.72947510094213,22.8129205921938,66.0834454912517,1.34589502018843,62.6522327,6.1569689,5.3450609,48.8839285714286,51.1160714285714,9.15178571428571,17.6339285714286,54.9107142857143,18.3035714285714,36.7170626349892,47.5161987041037,71.2742980561555,155.507559395248,97.1922246220302,181.425485961123,226.781857451404,276.45788336933,272.138228941685,259.179265658747,237.580993520518,0,0.263716162596469,1.00847457627119,"92"
"383",360050218002,0,0,862,1965,11.9592875318066,10.6361323155216,9.10941475826972,21.323155216285,7.88804071246819,24.1221374045802,65.852417302799,8.3969465648855,7.2485962,2.8075549,32.2613578,48.1438515081206,51.8561484918794,7.77262180974478,0,82.5986078886311,9.62877030162413,41.7335473515249,48.1540930979133,115.569823434992,147.672552166934,144.46227929374,134.831460674157,213.483146067416,308.186195826645,216.69341894061,401.284109149278,282.504012841091,0,0.0210619677538593,0.504237288135593,"106"
"391",360050221013,0,0,503,1702,15.0411280846063,14.042303172738,11.2808460634548,11.2808460634548,1.93889541715629,17.9200940070505,74.8531139835488,7.2267920094007,56.7567568,4.1128085,8.2843713,55.6660039761431,44.3339960238569,0,2.78330019880716,54.4731610337972,42.7435387673956,18.9228529839884,34.9344978165939,56.7685589519651,139.737991266376,116.448326055313,131.004366812227,213.973799126638,279.475982532751,262.008733624454,232.896652110626,224.163027656477,0,0.270065138586894,1.00847457627119,"92"
"392",360050221021,0,0,723,2526,10.0158353127474,10.2929532858274,11.7973079968329,22.8820269200317,3.20665083135392,3.64212193190816,89.5882818685669,4.86935866983373,42.0168067,27.8511405,4.4417767,67.911479944675,32.088520055325,6.63900414937759,1.79806362378976,64.1770401106501,27.3858921161826,22.1948212083847,39.4574599260173,118.372379778052,187.422934648582,135.635018495684,133.168927250308,258.939580764488,276.202219482121,277.435265104809,419.235511713933,298.397040690506,0,0.181151819160236,0.504237288135593,"5"
"393",360050221022,0,0,462,1153,8.15264527320035,8.41283607979185,15.61144839549,20.81526452732,9.19340849956635,14.9176062445794,85.0823937554206,0,53.3391154,14.0503036,2.5151778,75.3246753246753,24.6753246753247,0,0,68.3982683982684,31.6017316017316,24.2587601078167,102.425876010782,97.0350404312669,150.943396226415,94.3396226415094,113.207547169811,358.490566037736,258.760107816712,315.363881401617,323.450134770889,148.247978436658,0,0.297278936666091,1.00847457627119,"112"
"394",360050221023,0,0,565,1614,7.62081784386617,11.6480793060719,12.3296158612144,16.4188351920694,8.48822800495663,30.1734820322181,62.9491945477076,9.78934324659232,55.8859975,3.283767,12.5774473,61.5929203539823,38.4070796460177,4.95575221238938,6.72566371681416,50.6194690265487,37.6991150442478,17.6470588235294,66.6666666666667,117.647058823529,172.549019607843,215.686274509804,105.882352941176,425.490196078431,313.725490196078,335.294117647059,470.588235294118,474.509803921569,0,0.292390245502204,1.00847457627119,"9"
"399",360050223001,0,0,252,772,4.92227979274611,10.3626943005181,9.4559585492228,14.7668393782383,17.2279792746114,11.139896373057,86.9170984455959,0,51.9430052,25.2590674,4.1450777,65.8730158730159,34.1269841269841,8.33333333333333,0,62.3015873015873,29.3650793650794,62.82722513089,104.712041884817,219.895287958115,230.366492146597,366.492146596859,282.722513089005,219.895287958115,628.272251308901,659.685863874346,314.13612565445,921.465968586387,0,0.430396099419226,2.01694915254237,"31"
