"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_asthma_q1","pct_asthma_q2","pct_asthma_q3","pct_asthma_q4","pct_asthma_q5","pct_asthma_q6","pct_asthma_q7","pct_asthma_q8","pct_asthma_q11","pct_asthma_q9","pct_asthma_q10","INT","distance","weights","subclass"
"36",360050033003,0,0,616,1685,6.05341246290801,4.33234421364985,19.4658753709199,18.160237388724,10.2077151335312,31.0385756676558,67.5370919881306,0,69.851632,3.9169139,4.3916914,51.2987012987013,48.7012987012987,21.5909090909091,13.961038961039,18.0194805194805,46.4285714285714,18.8284518828452,16.7364016736402,4.18410041841004,10.4602510460251,12.5523012552301,8.36820083682008,10.4602510460251,4.18410041841004,18.8284518828452,16.7364016736402,2.09205020920502,0,0.251011095293339,0.68695652173913,"62"
"48",360050042004,0,0,400,1043,6.51965484180249,2.20517737296261,23.3940556088207,21.5723873441994,11.888782358581,67.6893576222435,32.3106423777565,0,20.9971237,0,0,3.75,96.25,3.75,6.5,0,89.75,8.59598853868195,2.86532951289398,0,0,8.59598853868195,14.3266475644699,0,2.86532951289398,0,2.86532951289398,14.3266475644699,0,0.24882240133471,0.68695652173913,"42"
"50",360050043001,0,0,633,1775,10.8732394366197,8.95774647887324,7.71830985915493,21.2394366197183,2.47887323943662,26.9859154929577,72.6760563380282,0.676056338028169,52.5070423,17.4647887,8.8450704,49.6050552922591,50.3949447077409,25.1184834123223,15.1658767772512,25.2764612954186,34.4391785150079,7.12589073634204,16.6270783847981,16.6270783847981,7.12589073634204,23.7529691211401,19.0023752969121,19.0023752969121,9.50118764845606,7.12589073634204,21.3776722090261,23.7529691211401,0,0.16957854707031,0.515217391304348,"99"
"52",360050044004,1,431,457,1164,7.90378006872852,9.62199312714777,14.6907216494845,9.45017182130584,12.7147766323024,50.5154639175258,49.4845360824742,0,33.161512,18.4707904,16.4089347,29.5404814004376,70.4595185995624,9.40919037199125,0,27.1334792122538,63.4573304157549,54.2635658914729,27.1317829457364,15.5038759689922,3.87596899224806,31.0077519379845,23.2558139534884,7.75193798449612,11.6279069767442,19.3798449612403,7.75193798449612,19.3798449612403,1,0.553212989374053,1,"103"
"53",360050048001,0,0,698,1940,12.7319587628866,5,11.1855670103093,14.2268041237113,4.43298969072165,26.1340206185567,73.0927835051546,1.03092783505155,34.4845361,3.2474227,12.2164948,48.8538681948424,51.1461318051576,2.00573065902579,0.429799426934097,29.9426934097421,67.621776504298,13.8121546961326,38.6740331491713,13.8121546961326,8.28729281767956,27.6243093922652,22.0994475138122,2.76243093922652,2.76243093922652,5.52486187845304,11.0497237569061,8.28729281767956,0,0.0879952900159753,0.515217391304348,"90"
"54",360050048002,0,0,747,2564,8.03432137285492,7.56630265210608,9.55538221528861,18.2527301092044,7.37129485179407,19.0717628705148,77.5351014040562,4.91419656786271,26.599064,9.8673947,15.6786271,50.4685408299866,49.5314591700134,33.8688085676038,0,37.7510040160643,28.380187416332,13.6986301369863,7.6103500761035,7.6103500761035,7.6103500761035,9.1324200913242,9.1324200913242,4.5662100456621,3.0441400304414,3.0441400304414,4.5662100456621,9.1324200913242,0,0.00418552839955248,0.515217391304348,"31"
"65",360050053001,0,0,740,1662,10.3489771359807,9.08543922984356,16.0048134777377,12.9362214199759,4.57280385078219,52.7075812274368,46.690734055355,0.36101083032491,58.2769231,8,3.5076923,9.18918918918919,90.8108108108108,0.540540540540541,1.08108108108108,14.3243243243243,81.8918918918919,54.9828178694158,30.9278350515464,27.4914089347079,44.6735395189003,54.9828178694158,27.4914089347079,24.0549828178694,20.6185567010309,20.6185567010309,54.9828178694158,41.2371134020619,0,0.927419635909222,2.06086956521739,"27"
"66",360050053002,0,0,972,2204,5.9437386569873,9.57350272232305,16.6969147005445,15.1542649727768,6.53357531760436,45.3720508166969,48.1397459165154,5.53539019963702,60.5716878,4.0381125,3.1760436,18.6213991769547,81.3786008230453,7.09876543209876,0.925925925925926,2.57201646090535,89.40329218107,33.4728033472803,37.6569037656904,43.9330543933054,10.4602510460251,33.4728033472803,29.2887029288703,27.1966527196653,8.36820083682008,29.2887029288703,39.7489539748954,18.8284518828452,0,0.765392910934603,2.06086956521739,"20"
"74",360050059022,0,0,866,2003,2.39640539191213,3.6445332001997,13.0803794308537,20.8187718422366,12.0319520718922,17.473789316026,77.3839241138293,3.14528207688467,46.67998,11.4827758,1.1482776,72.1709006928406,27.8290993071594,3.92609699769053,0,19.0531177829099,77.0207852193995,9.11854103343465,6.0790273556231,3.03951367781155,3.03951367781155,7.59878419452888,3.03951367781155,3.03951367781155,0,1.51975683890578,3.03951367781155,4.55927051671732,0,0.111267015082773,0.515217391304348,"89"
"77",360050061002,0,0,2001,3094,1.3251454427925,1.00193923723335,5.42986425339367,22.0103425985779,31.2863606981254,76.4059469941823,19.5216548157725,6.3994828700711,13.7039431,1.3574661,0.5494505,13.9430284857571,86.0569715142429,1.54922538730635,2.3488255872064,7.89605197401299,88.2058970514743,6.67070952092177,3.03214069132808,4.24499696785931,1.81928441479685,3.63856882959369,1.81928441479685,4.24499696785931,1.81928441479685,1.81928441479685,3.03214069132808,2.42571255306246,0,0.14801237632337,0.515217391304348,"56"
