"","Finished","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14","Q15","Q16","Q17","group","sum"
"74","1","1","5","44","4","5","4","5","5","4","3","4","4","5","1","2","5","1","group2",43
"75","1","1","1,5","44","2","2","3","2","5","4","1","1","1","2","2","2","5","2","group1 & group2",23
"76","1","1","1,3,7","33","3","4","4","3","4","2","1","3","3","2","1","4","5","2","group1",29
"77","1","1","1,3,5","22","2","2","2","2","4","2","2","3","3","2","4","2","5","2","group1 & group2",24
"78","1","1","5","","","3","","","","","","","","","","","","","group2",3
"79","1","1","5","44","3","4","3","4","4","4","3","2","3","3","4","1","5","2","group2",33
"80","1","1","1,3,5","44","3","2","2","3","4","4","2","2","2","4","3","1","6","2","group1 & group2",28
"81","1","1","5","47","2","3","3","3","4","2","2","2","2","4","2","2","5","2","group2",27
"82","1","1","5","47","3","5","4","3","4","4","4","3","4","5","3","1","5","2","group2",39
"83","1","1","3,5","5","2","2","1","2","5","2","2","3","4","2","4","2","5","1","group1 & group2",25
"84","1","1","5","21","2","2","4","5","4","4","1","2","2","4","2","2","5","1","group2",30
"85","1","1","3,5","39","1","3","1","2","4","2","2","3","3","2","1","2","5","2","group1 & group2",23
"86","1","1","3,4,5","6","2","2","2","3","4","2","3","3","2","4","1","2","5","2","group1 & group2",27
"87","1","1","5","14","4","5","5","4","5","5","3","4","4","4","3","1","5","2","group2",43
"88","1","1","1,2,3,5","5","5","5","4","4","4","3","4","5","5","5","4","2","5","2","group1 & group2",44
"89","1","1","1,2,3","5","1","1","1","1","3","4","1","1","2","3","3","2","5","2","group1",18
"90","1","1","5","31","2","2","2","4","4","2","2","4","2","4","3","1","5","2","group2",28
"91","1","1","2,5","30","2","4","3","2","4","4","2","2","2","3","1","2","5","2","group1 & group2",28
"92","1","1","5","11","2","4","4","3","5","4","5","4","3","4","1","1","5","2","group2",38
"93","1","1","5","21","3","2","2","4","4","2","2","3","3","4","2","1","5","2","group2",29
"94","1","1","5","23","3","4","3","2","5","4","2","3","4","4","2","2","5","2","group2",34
"95","1","1","5","11","3","2","3","3","3","4","2","2","2","4","5","5","7","3","group2",28
"96","1","1","5","","3","2","2","4","5","4","2","2","2","4","3","1","5","2","group2",30
"97","1","1","3,5","36","2","2","4","4","5","4","4","4","4","4","3","1","5","2","group1 & group2",37
"98","0","1","3","5","","","","","","","","","","","","","","","group1",0
"99","0","1","5","47","","","","","","","","","","","","","","","group2",0
"101","1","1","5","44","2","4","2","4","5","1","4","1","2","2","2","1","2","2","group2",27
"102","0","1","5","38","","","","","","","","","","","","","","","group2",0
"105","0","1","5","","","","","","","","","","","","","","","","group2",0
"106","0","1","3,5","47","","","","","","","","","","","","","","","group1 & group2",0
"107","0","1","5","4","","","","","","","","","","","","","","","group2",0
"108","0","1","5","26","","","","","","","","","","","","","","","group2",0
"109","0","1","3,5","","","","","","","","","","","","","","","","group1 & group2",0
"110","0","1","5","44","","","","","","","","","","","","","","","group2",0
"111","0","1","5","","","","","","","","","","","","","","","","group2",0
"113","1","1","5","47","4","2","4","4","4","2","1","2","2","4","2","1","5","2","group2",29
"114","0","1","5","33","","","","","","","","","","","","","","","group2",0
"116","1","1","5","10","3","2","4","4","4","4","1","1","1","4","3","1","2","2","group2",28
"117","1","1","3,5","39","2","2","2","3","5","3","1","2","3","2","2","4","5","2","group1 & group2",25
"119","0","1","3,5","44","","","","","","","","","","","","","","","group1 & group2",0
"120","1","1","5","22","2","4","1","2","4","1","1","2","2","2","3","1","5","2","group2",21
"122","0","1","5","22","","","","","","","","","","","","","","","group2",0
"123","0","1","5","36","","","","","","","","","","","","","","","group2",0
"124","1","1","3,5","6","2","4","3","4","5","4","2","4","4","4","4","1","5","2","group1 & group2",36
"125","1","1","5","5","2","1","1","3","4","4","2","4","4","3","3","1","5","2","group2",28
"126","0","1","5","5","","","","","","","","","","","","","","","group2",0
"128","0","1","1,5","50","","","","","","","","","","","","","","","group1 & group2",0
"129","0","1","3,5","44","","","","","","","","","","","","","","","group1 & group2",0
