"","ID","Finished","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14","Q15","Q16","Q17","group","sum"
"7",1,"1","1","3,5","50","3","4","5","5","4","3","4","4","4","4","2","2","5","2","group2",40
"8",2,"1","1","3","1","3","2","3","3","4","2","2","3","3","2","4","2","5","2","group1",27
"9",3,"1","1","5","9","2","1","1","2","5","3","1","2","2","3","2","1","1","2","group2",22
"10",4,"1","1","4,5","33","4","4","4","4","2","4","4","4","4","4","2","1","5","2","group2",38
"11",5,"1","1","5","42","4","4","4","2","2","3","3","4","3","2","2","1","5","2","group2",31
"12",6,"1","1","3,5,7","3","2","2","2","4","4","2","2","2","2","4","1","1","5","2","group2",26
"13",7,"1","1","5","33","2","2","2","4","4","2","2","3","4","2","2","1","5","2","group2",27
"14",8,"1","1","1,3,5","31","3","4","1","4","5","1","2","4","5","3","1","2","5","2","group1",32
"15",9,"1","1","5","6","2","2","2","2","4","2","2","2","2","2","3","2","5","1","group2",22
"16",10,"1","1","1,5","22","3","4","4","3","5","3","2","2","2","3","2","2","5","2","group1",31
"17",11,"1","1","5","5","2","5","2","3","4","4","2","2","2","4","1","2","5","2","group2",30
"18",12,"1","1","1,5","48","3","4","2","3","4","4","3","4","4","4","3","1","6","1","group1",35
"19",13,"1","1","5","48","4","5","3","4","3","3","5","4","4","4","2","5","7","3","group2",39
"20",14,"1","1","5","25","3","4","3","4","4","5","3","4","4","3","3","2","6","2","group2",37
"21",15,"1","1","1,2,3,5","14","4","2","3","3","5","1","5","5","5","5","1","1","5","2","group1",38
"22",16,"1","1","5","2","4","4","4","4","4","4","2","4","4","4","3","1","5","2","group2",38
"23",17,"1","1","1,2,5","39","3","3","2","2","5","1","1","1","3","2","3","1","5","2","group1",23
"24",18,"1","1","3,5","5","4","3","1","4","5","4","2","2","2","2","1","1","7","1","group2",29
"25",19,"1","1","5","48","4","2","2","3","5","2","2","2","2","4","3","1","5","2","group2",28
"26",20,"1","1","5","7","5","5","5","5","5","4","4","4","4","5","3","2","5","2","group2",46
"27",21,"1","1","5","11","2","3","3","4","4","3","3","2","2","3","2","2","5","2","group2",29
"28",22,"1","1","1,5","40","4","4","4","3","4","3","3","4","4","3","2","1","5","2","group1",36
"29",23,"1","1","3","21","4","3","5","4","5","3","4","3","4","4","3","1","5","2","group1",39
"30",24,"1","1","5","38","2","2","2","4","4","2","2","2","2","2","2","1","5","2","group2",24
